# Name,Team,Matches,Batting Average,Bowling Average
Shane Warne,AUS,145,17.32,25.41
Stephen Fleming,NZL,111,40.06,-1
Chris Cairns,NZL,62,33.53,29.4
Daniel Vettori,NZL,113,30,34.36
Brendan McCullum,NZL,101,38.64,88
Hashim Amla,RSA,124,46.64,-1
Henry Olonga,ZIM,30,5.41,38.52
Alastair Cook,ENG,161,45.35,7
Sachin Tendulkar,IND,200,53.78,54.17
Ricky Ponting,AUS,168,51.85,55.2
Kumar Sangakkara,SRL,134,57,40
AB de Villiers,RSA,114,50.66,52
Andy Flower,ZIM,63,51.54,-1
Jacques Kallis,RSA,166,55.37,32.65
Shahid Afridi,PAK,27,36.51,35.6
Courtney Walsh,WIN,132,7.54,24.44
Mohammad Ashraful,BAN,61,24,60.52
Zaheer Khan,IND,92,11.95,32.94
Jonty Rhodes,RSA,52,35.66,-1
Tillakaratne Dilshan,SRL,87,40.98,43.87
Rahul Dravid,IND,164,52.31,39
Graeme Swann,ENG,60,22.09,29.96
Brett Lee,AUS,76,20.15,30.81
Michael Hussey,AUS,79,51.52,43.71
Brian Lara,WIN,131,52.88,-1
Grant Flower,ZIM,67,29.54,61.48
MS Dhoni,IND,90,38.09,-1
Tamim Iqbal,BAN,64,39.57,-1
James Anderson,ENG,162,9.57,26.67
Wasim Akram,PAK,104,22.64,23.62
Muttiah Muralitharan,SRL,133,11.67,22.72
Chris Gayle,WIN,103,42.18,42.73
Waqar Younis,PAK,87,10.2,23.56
Saeed Anwar,PAK,55,45.52,-1
Curtly Ambrose,WIN,98,12.4,20.99
Sanath Jayasuriya,SRL,110,40.07,34.34
Kevin Pietersen,ENG,104,47.28,88.6
Shakib Al Hasan,BAN,58,39.33,31.06
Heath Streak,ZIM,65,22.35,28.14
Abdur Razzak,BAN,13,15.5,59.75
